Absorption (K-edge) for mids: mvc-847; elements: Cr; smoothing fwhm: 0.0 eV.
Spectra (before any smoothing) are 3rd-order spline interpolations ranged over the intersection of E-axis ranges of site spectra.
mvc-847 Cr K-edge	
E (eV)	mu
5992.578	0.017203452051520095
5992.852819095478	0.01903725949361139
5993.127638190956	0.02140855528740198
5993.402457286433	0.024615310540514187
5993.67727638191	0.029180782071645785
5993.952095477387	0.03605769848585066
5994.226914572865	0.0470321498765737
5994.501733668342	0.06452105145135154
5994.776552763819	0.08934675094855944
5995.0513718592965	0.1185051970974045
5995.326190954775	0.1403358777606952
5995.601010050252	0.14508820349394305
5995.875829145729	0.13874746217056663
5996.150648241206	0.13023944750970967
5996.425467336684	0.12305583006935569
5996.700286432161	0.1174692930101231
5996.975105527638	0.11149939735407105
5997.249924623116	0.10326045860174503
5997.5247437185935	0.09323414353992622
5997.799562814071	0.08451449575690866
5998.074381909548	0.080027122420503
5998.349201005026	0.08036967258258079
5998.624020100503	0.08520125509939525
5998.89883919598	0.09393249931389798
5999.173658291457	0.10555502591328746
5999.448477386935	0.1190428295209148
5999.7232964824125	0.13380930330575486
5999.99811557789	0.14959614159220794
6000.272934673367	0.16586921549551303
6000.547753768845	0.18191004580447614
6000.822572864322	0.1972935413871906
6001.097391959799	0.2121033260038342
6001.372211055277	0.22649503430741275
6001.647030150754	0.24144191400506504
6001.921849246231	0.25788343857987966
6002.196668341709	0.2757817838743567
6002.471487437187	0.2939818203296508
6002.746306532664	0.31117780759089375
6003.021125628141	0.32758503928744287
6003.295944723618	0.34431129312572123
6003.570763819096	0.3626170659957967
6003.845582914573	0.38080496862310426
6004.12040201005	0.3966607294044101
6004.3952211055275	0.4103788767503623
6004.670040201006	0.42244199179655384
6004.944859296483	0.4332160550667995
6005.21967839196	0.44367976241751383
6005.494497487438	0.4552551724807826
6005.769316582915	0.4701715967805867
6006.044135678392	0.4899699017319341
6006.318954773869	0.511093488900754
6006.593773869347	0.5294311515956507
6006.8685929648245	0.5437507883078204
6007.143412060302	0.5543426946518027
6007.418231155779	0.5637530154258013
6007.693050251257	0.5745994230979297
6007.967869346734	0.5892953832729928
6008.242688442211	0.6101112222187884
6008.517507537688	0.6389048558678656
6008.792326633166	0.6769129944257979
6009.0671457286435	0.7209884062884099
6009.341964824121	0.7659809627578005
6009.616783919599	0.8082646945106206
6009.891603015076	0.8455540412516428
6010.166422110553	0.8787012750948942
6010.44124120603	0.9117338072537368
6010.716060301508	0.9449659455135103
6010.990879396985	0.9737928166112297
6011.265698492462	0.9934081947452703
6011.54051758794	1.0
6011.815336683418	0.9912722048992503
6012.090155778895	0.9684187151102798
6012.364974874372	0.933410080521162
6012.639793969849	0.8883121319095401
6012.914613065327	0.836066402901726
6013.189432160804	0.781125586971946
6013.464251256281	0.7290451573105463
6013.739070351759	0.6844282523720906
6014.013889447237	0.6485467707468049
6014.288708542714	0.6210067194185533
6014.563527638191	0.6003648285542721
6014.838346733669	0.5843144958770885
6015.113165829146	0.5706961639900884
6015.387984924623	0.5582144548640618
6015.6628040201	0.5461168639026514
6015.937623115578	0.5343650510564236
6016.2124422110555	0.5235938997848534
6016.487261306533	0.514397521319128
6016.76208040201	0.5069755447675471
6017.036899497488	0.5015232958425618
6017.311718592965	0.49807797197998194
6017.586537688442	0.49635407714751756
6017.86135678392	0.496092392431795
6018.136175879397	0.49727678168472633
6018.4109949748745	0.499995537587899
6018.685814070352	0.5042977874961434
6018.96063316583	0.5103785037765339
6019.235452261307	0.5183950540836033
6019.510271356784	0.5284095565445543
6019.785090452261	0.5402220946412045
6020.059909547739	0.5531905938735721
6020.334728643216	0.566486887975374
6020.609547738693	0.5793486113284151
6020.884366834171	0.5915771468459227
6021.159185929649	0.6030554416473901
6021.434005025126	0.6136010879541992
6021.708824120603	0.6229421740247768
6021.983643216081	0.6309777936593136
6022.258462311558	0.6377994850206601
6022.533281407035	0.6435277181502703
6022.808100502512	0.6482793763123764
6023.08291959799	0.6521409903170051
6023.357738693468	0.6551526313473032
6023.632557788945	0.6573299310934666
6023.907376884422	0.658670661785527
6024.1821959799	0.6591695138589941
6024.457015075377	0.6588052495756173
6024.731834170854	0.6575512069347362
6025.006653266331	0.6554040923206735
6025.281472361809	0.6523731883755058
6025.5562914572865	0.6484836329246866
6025.831110552764	0.6437806236283616
6026.105929648241	0.6383203595877818
6026.380748743719	0.632172858000364
6026.655567839196	0.6254265960035345
6026.930386934673	0.6181837747899883
6027.205206030151	0.6105659066209331
6027.480025125628	0.602699641335575
6027.7548442211055	0.5947128920260722
6028.029663316583	0.5867327990650107
6028.304482412061	0.5788713623672044
6028.579301507538	0.5712180518595545
6028.854120603015	0.5638342658313701
6029.128939698492	0.5567604109535023
6029.40375879397	0.5500254122066336
6029.678577889447	0.5436521239608112
6029.953396984924	0.5376561998012397
6030.228216080402	0.5320383644991973
6030.50303517588	0.526789697980088
6030.777854271357	0.5218943077089429
6031.052673366834	0.5173314734347532
6031.327492462312	0.5130758744949466
6031.602311557789	0.5091058024989082
6031.877130653266	0.5054038792200582
6032.151949748743	0.5019601030002605
6032.426768844221	0.4987674458910236
6032.701587939699	0.4958200825479553
6032.976407035176	0.4931138062724719
6033.251226130653	0.4906461071990251
6033.526045226131	0.48841331813863853
6033.800864321608	0.4864110219091032
6034.075683417085	0.48463487680405326
6034.350502512562	0.4830779846444264
6034.62532160804	0.48172708963111444
6034.9001407035175	0.48056778329813565
6035.174959798995	0.47958547764845866
6035.449778894473	0.4787676541159823
6035.72459798995	0.47810351953426095
