Absorption (K-edge) for mids: mvc-847; elements: Cr; smoothing fwhm: 0.0 eV.
Spectra (before any smoothing) are 3rd-order spline interpolations ranged over the intersection of E-axis ranges of site spectra.
mvc-847 Cr K-edge	
E (eV)	mu
6042.320256281407	0.49098434047212675
6042.595075376884	0.49215431429703854
6042.869894472362	0.49335061774963834
6043.144713567839	0.4945775305321331
6043.419532663316	0.4958405801034904
6043.694351758794	0.49714562631116227
6043.969170854271	0.4984986915814152
6044.2439899497485	0.4999058192462208
6044.518809045226	0.5013730045375867
6044.793628140704	0.5029040960305825
6045.068447236181	0.5045005189702618
6045.343266331658	0.5061637667239947
6045.618085427135	0.5078958823686304
6045.892904522613	0.5097009454010797
6046.16772361809	0.511585327658219
6046.4425427135675	0.513555530763615
6046.717361809045	0.515618056340829
6046.992180904523	0.517779406013429
6047.267	0.5200460814049619
