Absorption (K-edge) for mids: mp-776655,mp-776456,mp-458,mvc-379; elements: Ti; smoothing fwhm: 0.0 eV.
Spectra (before any smoothing) are 3rd-order spline interpolations ranged over the intersection of E-axis ranges of site spectra.
mp-458 Ti K-edge		mp-776456 Ti K-edge		mp-776655 Ti K-edge		mvc-379 Ti K-edge	
E (eV)	mu	E (eV)	mu	E (eV)	mu	E (eV)	mu
4968.344	0.012621843543391192	4968.531	0.012896580558471161	4968.749	0.014257965980702048	4968.948	0.016713816774221405
4968.621195979899	0.01365067270992985	4968.807175879397	0.013956460061867394	4969.023095477387	0.015594676186053468	4969.220628140703	0.018837222323066907
4968.8983919597995	0.014900016721668895	4969.0833517587935	0.015273967652056769	4969.297190954773	0.017297818536550644	4969.493256281407	0.02176960144611067
4969.175587939699	0.01651617954414864	4969.359527638191	0.016986738375062763	4969.57128643216	0.01960087630579448	4969.7658844221105	0.026087311509998608
4969.452783919598	0.018669793176614855	4969.635703517588	0.01929750437628547	4969.8453819095475	0.02290678248847551	4970.0385125628145	0.03310867743150378
4969.729979899497	0.021707371710176948	4969.911879396985	0.022622225380787838	4970.119477386935	0.028016703477014696	4970.311140703518	0.045117874857146814
4970.007175879397	0.026381053409073433	4970.188055276381	0.02784671698495787	4970.393572864321	0.036591179030114065	4970.583768844222	0.06311895696924325
4970.284371859297	0.03415359555786089	4970.464231155779	0.036771491512410485	4970.667668341708	0.05028505774483876	4970.856396984925	0.08093777067923762
4970.561567839196	0.04820159106185208	4970.740407035176	0.05223505530218778	4970.941763819095	0.06782047409409782	4971.129025125629	0.09323827937862954
4970.838763819095	0.06929733497898842	4971.016582914573	0.07216044517170382	4971.215859296482	0.08690682205378047	4971.401653266332	0.10788578596846223
4971.115959798995	0.08799288659058273	4971.292758793969	0.08690101869817143	4971.489954773869	0.10268469476047878	4971.674281407036	0.13184685138939037
4971.393155778895	0.09830250022101364	4971.568934673367	0.09516445842148794	4971.764050251256	0.11155005896436838	4971.946909547739	0.15668686535291446
4971.670351758794	0.10339250849296372	4971.845110552764	0.10113838459995018	4972.038145728643	0.11403126363091287	4972.219537688443	0.16360884741032136
4971.947547738693	0.10281967210735947	4972.121286432161	0.10637377870413488	4972.31224120603	0.11383343034644627	4972.492165829146	0.1530274376185808
4972.224743718593	0.0989558375365885	4972.397462311557	0.1113710988202686	4972.586336683416	0.11486452178131473	4972.76479396985	0.14330918102211881
4972.501939698493	0.09777892962043018	4972.673638190955	0.11755163437401091	4972.860432160804	0.11679611815637167	4973.037422110553	0.1408522806738044
4972.779135678392	0.10513165419539479	4972.949814070352	0.12420156312039776	4973.134527638191	0.11993856712118972	4973.310050251256	0.14302138537605294
4973.056331658291	0.12130959425281022	4973.2259899497485	0.12922498221749115	4973.408623115578	0.12610016298758864	4973.58267839196	0.14705630297198435
4973.333527638191	0.13622238433993775	4973.502165829145	0.13135883064172998	4973.682718592964	0.13296427374084627	4973.855306532663	0.15121784603731708
4973.610723618091	0.14413168701541373	4973.778341708543	0.13161845808587885	4973.956814070351	0.13682223518130907	4974.127934673367	0.15192711251951715
4973.88791959799	0.1487337119158873	4974.05451758794	0.13167813601750025	4974.2309095477385	0.13752482214420783	4974.40056281407	0.14973917275878834
4974.165115577889	0.15191413607253407	4974.3306934673365	0.13143345204809878	4974.505005025126	0.13801400774307554	4974.673190954774	0.14863363825660275
4974.442311557789	0.15226966731757555	4974.606869346733	0.13029527977508465	4974.779100502512	0.13909967708875212	4974.945819095477	0.14944947160358035
4974.7195075376885	0.1489012087473986	4974.883045226131	0.12885609784050686	4975.053195979899	0.1401755197766846	4975.218447236181	0.15135616582894526
4974.996703517588	0.14534200023092095	4975.159221105528	0.12902155625239514	4975.327291457286	0.14222450713368123	4975.4910753768845	0.15414406236352252
4975.273899497488	0.1446304599615876	4975.435396984924	0.13249637730616315	4975.601386934673	0.14706865665282373	4975.7637035175885	0.15542660145780224
4975.551095477387	0.14336872111130672	4975.711572864321	0.13831309812376522	4975.87548241206	0.157470939835605	4976.036331658292	0.15404201197474635
4975.8282914572865	0.1401887480851522	4975.987748743719	0.14275884770213634	4976.149577889447	0.17504107739058522	4976.308959798996	0.15352289001674235
4976.105487437186	0.14341835853896215	4976.263924623116	0.1445620506580756	4976.423673366834	0.1965141217425413	4976.581587939699	0.15700210895882324
4976.382683417086	0.16217632024026696	4976.540100502512	0.14789608783111796	4976.697768844221	0.21673431999833112	4976.854216080403	0.1644444495804688
4976.659879396985	0.1961449662441853	4976.816276381909	0.1574773344871447	4976.971864321607	0.23208925123313942	4977.126844221106	0.1752272700840374
4976.937075376884	0.23342608353684388	4977.092452261307	0.17598369273021355	4977.245959798995	0.24376377987541997	4977.399472361809	0.1899878219003502
4977.214271356784	0.25936030607442195	4977.368628140704	0.2039045576322092	4977.520055276382	0.25261771476545636	4977.672100502513	0.20896951851963555
4977.491467336684	0.2700865730310185	4977.6448040201	0.2415576132721278	4977.794150753769	0.2594281741734844	4977.944728643216	0.23131532193904708
4977.768663316583	0.2718030277599902	4977.920979899497	0.2826961019408324	4978.068246231155	0.2656704252961877	4978.21735678392	0.25616390201648653
4978.045859296482	0.2756621109329641	4978.197155778895	0.3180839966887027	4978.342341708542	0.27548201152573704	4978.489984924623	0.2833448548687851
4978.323055276382	0.2856091690823969	4978.4733316582915	0.34061599855798447	4978.6164371859295	0.2906320639993993	4978.762613065327	0.31236228572556773
4978.600251256282	0.2998463975765034	4978.749507537688	0.3493635227911955	4978.890532663317	0.3100279493991307	4979.03524120603	0.3406910773149246
